campaign_id,campaign_name,channel,objective,start_date,end_date,planned_budget
CMP-1000,Brand_Search_Always_On,Paid Search,Awareness,2025-02-15,2025-08-14,20000
CMP-1001,NonBrand_Search_Generic,Paid Search,Awareness,2025-03-02,2025-05-31,12000
CMP-1002,Competitor_Conquest_Search,Paid Search,Conversion,2025-01-31,2025-07-30,12000
CMP-1003,Shopping_Feed_Q_Promo,Paid Search,Retention,2025-04-01,2025-09-28,15000
CMP-1004,IG_Prospecting_LookalikeAud,Paid Social,Awareness,2025-04-01,2025-11-27,15000
CMP-1005,FB_Retargeting_CartAbandon,Paid Social,Consideration,2025-03-02,2025-05-01,30000
CMP-1006,TikTok_Awareness_GenZ,Paid Social,Awareness,2025-03-02,2025-07-30,12000
CMP-1007,IG_Story_Promo_Flash,Paid Social,Awareness,2025-01-31,2025-05-01,15000
CMP-1008,Weekly_Newsletter,Email,Conversion,2025-04-01,2025-11-27,12000
CMP-1009,Post_Purchase_Winback,Email,Conversion,2025-02-15,2025-07-15,12000
CMP-1010,Abandoned_Cart_Flow,Email,Conversion,2025-03-02,2025-06-30,5000
CMP-1011,VIP_Loyalty_Offer,Email,Retention,2025-01-15,2025-06-14,30000
CMP-1012,Programmatic_Retargeting,Display,Consideration,2025-01-15,2025-04-15,20000
CMP-1013,GDN_Prospecting_Banner,Display,Awareness,2025-01-15,2025-06-14,15000
CMP-1014,Native_ContentSyndication,Display,Conversion,2025-02-15,2025-08-14,12000
CMP-1015,Influencer_Partner_Program,Affiliate,Consideration,2025-04-01,2025-05-31,15000
CMP-1016,Coupon_Site_Partnership,Affiliate,Conversion,2025-01-15,2025-09-12,8000
CMP-1017,Review_Site_Placements,Affiliate,Awareness,2025-02-15,2025-10-13,8000
CMP-1018,IG_Organic_Content,Organic Social,Retention,2025-01-15,2025-06-14,30000
CMP-1019,TikTok_Organic_Content,Organic Social,Conversion,2025-02-15,2025-10-13,45000
CMP-1020,FB_Organic_Community,Organic Social,Awareness,2025-04-01,2025-08-29,20000
